"AtcoCode","FerryCode","Name","NameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9300OUT","OUT","Out Skerries Shetland Ferry Terminal","","U",468864,1171630,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300PAD","PAD","Padstow Ferry Landing","","U",192022,75565,"2005-10-11T00:00:00","2007-07-24T10:24:20",2,"rev"
"9300PAK","PAK","Port Askaig Islay Ferry Terminal","","U",143140,669235,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300PAP","PAP","Port Appin Ferry Terminal","","U",190215,745365,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PAV","PAV","Portavadie Ferry Terminal","","U",192630,669790,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PBA","PBA","Plymouth (Barbican) Landing Stage","","U",248314,53931,"2006-11-28T14:55:54","2010-12-16T16:28:19",3,"rev"
"9300PCL","PCL","Point Clear Ferry Landing","","U",608409,215886,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PED","PED","Pembroke Dock Ferry Terminal","","U",195990,203917,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PEN","PEN","Penzance Ferry Terminal","","U",147822,30108,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PHD","PHD","Liverpool Pier Head Ferry Terminal","","U",333850,390285,"2005-10-11T00:00:00","2008-12-05T17:09:59",2,"rev"
"9300PHY","PHY","Rock Padstow Ferry Landing","","U",192800,75770,"2005-10-11T00:00:00","2011-09-30T14:46:00",3,"rev"
"9300PIE","PIE","Piel Island Ferry Landing","","U",323366,463793,"2010-12-10T15:14:09","2010-12-10T15:14:09",0,"new"
"9300PLN","PLN","Port Ellen Islay Ferry Terminal","","U",136360,645105,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300PLQ","PLQ","Plantation Quay Ferry Landing","","U",256693,665185,"2011-04-14T15:08:30","2011-04-14T15:08:30",0,"new"
"9300PLY","PLY","Plymouth Ferry Terminal","","U",246705,53885,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PMB","PMB","Plymouth Mount Batten Ferry Landing","","U",248580,53405,"2006-11-28T14:56:07","2006-12-22T10:10:40",1,"rev"
"9300PMC","PMC","Portsmouth Continental Ferry Terminal","","U",464276,101702,"2008-05-22T09:39:40","2010-04-22T15:55:09",1,"rev"
"9300PMH","PMH","Portsmouth Harbour Station Pier","","U",462877,100086,"2008-05-22T09:40:08","2008-05-22T09:40:08",0,"new"
"9300PMT","PMT","East Portlemouth Ferry Landing","","U",274325,38705,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300POC","POC","Portsmouth IOW Car Ferry Terminal","","U",463103,99640,"2005-10-11T00:00:00","2010-08-12T16:59:34",1,"rev"
"9300POL","POL","Polruan Ferry Landing","","U",212568,51068,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PON","PON","Ponsharden Ferry Landing","","U",179585,33980,"2005-10-11T00:00:00","2011-09-30T14:46:00",2,"rev"
"9300POP","POP","Poole Quay Ferry Landing","","U",401125,90250,"2008-06-19T08:52:28","2010-02-10T16:30:41",1,"rev"
"9300POU","POU","Pooley Bridge Ullswater Ferry Landing","","U",346657,524199,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300POV","POV","Poole Ferry Terminal","","U",400573,89892,"2008-06-19T08:52:28","2010-02-10T16:31:36",1,"rev"
"9300PPR","PPR","Porth Penrhyn Ferry Landing","","U",261719,315016,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PRA","PRA","Port Ramsay Lismore Ferry Terminal","","U",189435,746125,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300PRE","PRE","Portree Ferry Terminal","","U",148462,843368,"2007-03-22T11:40:32","2007-03-22T11:40:32",0,"new"
"9300PST","PST","Papa Stour Shetland Ferry Terminal","","U",418174,1160847,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300PTD","PTD","Portishead Pier","","U",347720,177595,"2008-04-07T11:12:58","2008-04-07T11:12:58",0,"new"
"9300PTH","PTH","Penarth Pier","","U",319120,171290,"2008-04-07T11:12:38","2008-04-07T11:12:38",0,"new"
"9300PTM","PTM","Muck Ferry Terminal","","U",142265,779320,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300PUT","PUT","Putney Pier","","U",524033,175744,"2005-10-11T00:00:00","2005-10-11T00:00:00",0,""
"9300PWL","PWL","Westray Pierowall Orkney Ferry Terminal","","U",344670,1048995,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300PWY","PWY","Papa Westray Orkney Ferry Terminal","","U",349364,1049280,"2005-10-11T00:00:00","2008-06-16T10:56:06",3,"rev"
"9300RAA","RAA","Raasay Ferry Terminal","","U",154518,836321,"2005-10-11T00:00:00","2010-08-12T16:56:33",2,"rev"
"9300RAP","RAP","Rapness Orkney Ferry Terminal","","U",351136,1040553,"2005-10-11T00:00:00","2008-06-16T10:56:06",4,"rev"
"9300RAY","RAY","Rothesay Ferry Terminal","","U",208847,664805,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300RDM","RDM","Reedham Ferry North","","U",640747,301507,"2010-11-19T09:36:33","2010-11-19T09:36:33",0,"new"
"9300RFW","RFW","Renfrew Ferry Terminal","","U",251040,668395,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300RHM","RHM","Reedham Ferry South","","U",640782,301437,"2005-10-11T00:00:00","2010-11-19T09:43:10",3,"rev"
"9300RHU","RHU","Rhubodach Bute Ferry Terminal","","U",202713,674243,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300RLS","RLS","Richmond - Ham House Ferry Landing","","U",517316,173284,"2005-10-11T00:00:00","2010-02-10T16:34:51",1,"rev"
"9300RMG","RMG","Ramsgate Ferry Terminal","","U",637950,164215,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300RMY","RMY","Ramsey Island Ferry Landing","","U",170627,223703,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ROA","ROA","Roa Island Ferry Landing","","U",323268,464807,"2010-12-10T15:14:09","2010-12-10T15:14:09",0,"new"
"9300ROU","ROU","Rousay Orkney Ferry Terminal","","U",343655,1027475,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300ROW","ROW","Rowardennan Pier","","U",235878,698661,"2010-08-13T16:26:38","2010-08-13T16:26:38",0,"new"
"9300ROY","ROY","Rosyth Ferry Terminal","","U",310397,682087,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300RSH","RSH","Richmond St. Helena Pier","","U",517860,174410,"2005-10-11T00:00:00","2010-07-29T15:01:39",2,"rev"
"9300RVM","RVM","Riverside Museum (Glasgow) Ferry Landing","","U",255784,665931,"2011-03-21T11:55:16","2011-03-21T11:55:16",0,"new"
"9300RYD","RYD","Ryde Pier Head Ferry Terminal","","U",459328,93645,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300RYH","RYH","Ryde Hoverport","","U",459499,92894,"2005-10-11T00:00:00","2005-10-11T00:00:00",0,""
"9300SBK","SBK","Sunny Bank (Coniston) Ferry Landing","","U",329222,492241,"2010-07-19T13:12:52","2010-07-19T13:12:52",0,"new"
"9300SCG","SCG","Scoraig Ferry Landing","","U",199994,896176,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300SCO","SCO","Sconser Isle Of Skye Ferry Terminal","","U",152593,832300,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300SCR","SCR","Scrabster Ferry Terminal","","U",310389,970300,"2005-10-11T00:00:00","2008-04-07T11:04:06",2,"rev"
"9300SCY","SCY","Scalloway Shetland Ferry Terminal","","U",440310,1139110,"2006-04-21T09:30:03","2006-12-22T10:10:40",2,"rev"
"9300SDN","SDN","Shaldon Teignmouth Ferry Landing","","U",293570,72240,"2005-10-11T00:00:00","2010-11-08T17:02:20",3,"rev"
"9300SEA","SEA","Seacombe Ferry Terminal","","U",332540,390810,"2005-10-11T00:00:00","2008-11-17T19:24:49",2,"rev"
"9300SHP","SHP","Shepperton Ferry Landing","","U",507464,165978,"2010-02-11T15:04:32","2010-02-11T15:04:32",0,"new"
"9300SHS","SHS","Sharpness Old Docks","","U",366795,203055,"2008-04-07T11:13:28","2008-04-07T11:13:28",0,"new"
"9300SHY","SHY","Shotley Point Marina Ferry Landing","","U",625218,233837,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300SKO","SKO","Skomer Island Ferry Landing","","U",173486,209493,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300SLC","SLC","Salcombe Ferry Landing","","U",274133,38870,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300SMH","SMH","St Margarets Hope Ferry Terminal","","U",344578,994262,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300SNS","SNS","Stromness Orkney Ferry Terminal","","U",325605,1009330,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300SOP","SOP","Southampton Passenger Ferry Terminal","","U",441921,110714,"2008-06-19T08:52:28","2010-08-12T16:58:16",1,"rev"
"9300SOS","SOS","Southsea Hoverport","","U",463545,98784,"2005-10-11T00:00:00","2008-02-15T09:17:11",1,"rev"
"9300SOV","SOV","Southampton Vehicle Ferry Terminal","","U",441852,110859,"2008-06-19T08:52:28","2008-06-19T08:52:28",0,"new"
"9300SPY","SPY","Shapinsay Orkney Ferry Terminal","","U",347890,1016387,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300SQF","SQF","South Queensferry Ferry Landing","","U",313609,678580,"2005-10-11T00:00:00","2008-04-25T15:17:41",2,"rev"
"9300SSD","SSD","South Sands Ferry Landing","","U",272825,37660,"2005-10-11T00:00:00","2010-11-08T17:02:20",2,"rev"
"9300SSH","SSH","South Shields Ferry Terminal","","U",435920,567150,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300STA","STA","Starcross Ferry Landing","","U",297860,81790,"2005-10-11T00:00:00","2010-11-08T17:02:20",2,"rev"
"9300STC","STC","St Katharine's Pier","","U",533780,180337,"2005-10-11T00:00:00","2005-10-11T00:00:00",0,""
"9300STF","STF","Staffa Ferry Landing","","U",132610,735114,"2011-01-24T16:05:31","2011-01-24T16:05:31",0,"new"
"9300STJ","STJ","St. Justinian Ferry Landing","","U",172325,225092,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300STO","STO","Stornoway Lewis Ferry Terminal","","U",142372,932546,"2005-10-11T00:00:00","2008-04-23T17:51:49",3,"rev"
"9300STR","STR","Stranraer Ferry Terminal","","U",206295,561178,"2009-01-13T11:53:13","2009-01-13T11:53:13",0,"new"
"9300STY","STY","Stronsay Orkney Ferry Terminal","","U",365891,1028578,"2005-10-11T00:00:00","2008-04-25T15:11:54",3,"rev"
"9300SUM","SUM","Grutness Shetland Ferry Terminal","","U",440497,1110136,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300SVQ","SVQ","Sovereign Quay Waterbus Stop","","U",319036,174232,"2011-01-31T23:02:30","2011-01-31T23:02:30",0,"new"
"9300SWA","SWA","Swansea Queens Dock Ferry Terminal","","U",266710,192185,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300SWD","SWD","Sandbanks Ferry Terminal","","U",403720,87085,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300SWK","SWK","Bankside Pier","","U",532206,180546,"2005-10-11T00:00:00","2010-12-06T18:11:21",1,"rev"
"9300SWO","SWO","Southwold Ferry Landing","","U",650080,275060,"2005-10-11T00:00:00","2011-08-22T17:01:45",2,"rev"
"9300SYM","SYM","Whalsay Shetland Ferry Terminal","","U",453731,1162375,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300SYP","SYP","Savoy Pier","","U",530570,180552,"2005-10-11T00:00:00","2010-12-06T18:11:21",1,"rev"
"9300TAB","TAB","Tarbert (Harris) Ferry Terminal","","U",115775,899810,"2005-10-11T00:00:00","2010-09-06T16:59:45",3,"rev"
"9300TAF","TAF","Taffs Mead Waterbus Stop","","U",317964,175770,"2011-01-31T23:02:30","2011-01-31T23:02:30",0,"new"
"9300TAR","TAR","Tarbet (Loch Lomond) Pier","","U",232106,704423,"2010-08-16T15:18:10","2010-09-06T16:59:45",1,"rev"
"9300TAV","TAV","Tayvallich (Argyll & Bute) Ferry Terminal","","U",174239,687259,"2008-06-16T10:58:29","2008-06-16T10:58:29",0,"new"
"9300TBP","TBP","Torquay Harbour Boarding Pontoon","","U",291825,63235,"2008-08-22T09:08:53","2008-08-22T09:08:53",0,"new"
"9300TCK","TCK","Trelisick Ferry Landing","","U",184035,39595,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TCO","TCO","Tresco Isles Of Scilly Ferry Landing","","U",89296,13379,"2005-10-11T00:00:00","2008-04-25T15:12:12",3,"rev"
"9300TEN","TEN","Tenby Ferry Landing","","U",213548,200622,"2005-10-11T00:00:00","2008-04-25T15:12:29",2,"rev"
"9300TFL","TFL","Turf Lock Inn Ferry Landing","","U",296480,85870,"2010-12-10T15:16:27","2010-12-10T15:16:27",0,"new"
"9300THM","THM","Topsham Ferry Landing","","U",296395,88125,"2005-10-11T00:00:00","2010-12-10T15:17:26",2,"rev"
"9300TIG","TIG","Tighnabruaich Pier Ferry Terminal","","U",198584,673301,"2006-08-14T08:55:26","2006-12-22T10:10:40",2,"rev"
"9300TIL","TIL","Tilbury Ferry Terminal","","U",564504,175069,"2005-10-11T00:00:00","2008-04-25T15:19:17",2,"rev"
"9300TKN","TKN","Tower Knowe Ferry Landing","","U",369836,586961,"2011-06-28T14:21:41","2011-06-28T14:21:41",0,"new"
"9300TLI","TLI","Topsham Lock Ferry Landing","","U",296256,87972,"2005-10-11T00:00:00","2010-12-10T15:18:22",2,"rev"
"9300TLN","TLN","Tarbet (Loch Nevis) Ferry Landing","","U",179082,792512,"2005-10-11T00:00:00","2010-09-06T16:59:45",2,"rev"
"9300TMP","TMP","Tower Millennium Pier","","U",533408,180513,"2005-10-11T00:00:00","2010-12-06T18:11:21",1,"rev"
"9300TNM","TNM","Teignmouth Ferry Landing","","U",293885,72425,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TOB","TOB","Tobermory Mull Ferry Terminal","","U",150845,755327,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300TOF","TOF","Toft Shetland Ferry Terminal","","U",443712,1176169,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300TOL","TOL","Tolverne Ferry Landing","","U",184552,40218,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TOR","TOR","Torquay - North Quay","","U",291736,63369,"2005-10-11T00:00:00","2008-08-22T09:09:10",2,"rev"
"9300TOT","TOT","Totnes Ferry Landing","","U",280644,60012,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TPT","TPT","Torpoint Ferry Terminal","","U",244163,55135,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TRE","TRE","Tiree Ferry Terminal","","U",104867,745462,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TRN","TRN","Troon Ferry Terminal","","U",230846,631647,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TSC","TSC","Tarbet (Scourie) Ferry Landing","","U",216357,948842,"2005-10-11T00:00:00","2010-09-06T16:59:45",2,"rev"
"9300TTL","TTL","Topsham (Turf Lock Ferry) Ferry Landing","","U",296535,87935,"2010-12-10T15:16:27","2010-12-10T15:16:27",0,"new"
"9300TUK","TUK","Tuckton Tea Gardens Ferry Landing","","U",414895,92249,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300TVR","TVR","Torver (Coniston) Ferry Landing","","U",330175,495126,"2010-07-19T13:12:47","2010-07-19T13:12:47",0,"new"
"9300TWL","TWL","Tingwall Orkney Ferry Terminal","","U",340305,1022885,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300TYL","TYL","Tayinloan Ferry Terminal","","U",169295,646555,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300UFU","UFU","Ulva Ferry (Ulva) Ferry Landing","","U",144372,739777,"2010-12-10T15:14:09","2010-12-10T15:14:09",0,"new"
"9300UIG","UIG","Uig Skye Ferry Terminal","","U",138535,863585,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300ULL","ULL","Ullapool Ferry Terminal","","U",212777,893880,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300ULS","ULS","Ulsta Shetland Ferry Terminal","","U",446328,1179456,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300ULV","ULV","Ulva Ferry (Mull) Ferry Landing","","U",144590,739896,"2005-10-11T00:00:00","2010-12-10T15:15:26",2,"rev"
"9300VID","VID","Vidlin Shetland Ferry Terminal","","U",448115,1165742,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300WAL","WAL","Wallasea Island Ferry Landing","","U",593582,195281,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WAR","WAR","Warsash Ferry Landing","","U",448842,106412,"2005-10-11T00:00:00","2010-08-12T16:58:21",2,"rev"
"9300WAS","WAS","Woolwich Arsenal Pier","","U",543833,179390,"2007-06-18T11:41:04","2010-12-06T18:11:21",2,"rev"
"9300WAT","WAT","Waterhead Hotel (Coniston) Ferry Landing","","U",331144,497389,"2010-07-19T13:12:42","2010-07-19T13:12:42",0,"new"
"9300WBU","WBU","West Burrafirth Shetland Ferry Terminal","","U",425535,1156909,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300WEY","WEY","Weymouth Ferry Terminal","","U",368360,78827,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WIC","WIC","Wick Christchurch Ferry Landing","","U",415570,92186,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WLB","WLB","Walberswick Ferry Landing","","U",650068,274970,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WLN","WLN","West Lynn Ferry Landing","","U",561323,320309,"2005-10-11T00:00:00","2008-10-07T09:12:08",2,"rev"
"9300WLS","WLS","Walls Shetland Ferry Terminal","","U",424011,1148907,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300WMB","WMB","Wemyss Bay Ferry Terminal","","U",219250,668510,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WMP","WMP","London Eye Millennium Pier","","U",530620,179973,"2005-10-11T00:00:00","2010-12-06T18:11:21",3,"rev"
"9300WMR","WMR","Westminster Millennium Pier","","U",530327,179738,"2005-10-11T00:00:00","2010-12-06T18:11:21",1,"rev"
"9300WOO","WOO","Woodside Birkenhead Ferry Terminal","","U",332937,389150,"2005-10-11T00:00:00","2008-12-01T16:22:33",4,"rev"
"9300WPK","WPK","Water Park (Coniston) Ferry Landing","","U",329350,490442,"2010-07-19T13:13:06","2010-07-19T13:13:06",0,"new"
"9300WPT","WPT","Warren Point Ferry Landing","","U",253775,47755,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300WRQ","WRQ","Wandsworth Riverside Quarter Pier","","U",525209,175293,"2007-06-18T11:40:33","2009-08-24T12:18:04",1,"rev"
"9300WSM","WSM","Weston-super-Mare Knightstone Harbour","","U",331220,161780,"2008-04-07T11:13:57","2008-04-07T11:13:57",0,"new"
"9300WWC","WWC","Woolwich Ferry North Pier","","U",543145,179660,"2005-10-11T00:00:00","2010-07-29T15:01:34",3,"rev"
"9300WWS","WWS","Woolwich Ferry South Pier","","U",543244,179374,"2005-10-11T00:00:00","2007-06-11T15:34:32",2,"rev"
"9300WYB","WYB","Weybridge Ferry Landing","","U",507504,165872,"2010-02-11T15:04:56","2010-02-11T15:04:56",0,"new"
"9300WYR","WYR","Wyre Orkney Ferry Terminal","","U",344430,1026850,"2005-10-11T00:00:00","2006-12-22T10:10:40",2,"rev"
"9300YMO","YMO","Yarmouth IOW Ferry Terminal","","U",435368,89752,"2005-10-11T00:00:00","2008-05-20T09:47:20",4,"rev"
"9300YOK","YOK","Yoker Ferry Terminal","","U",251167,668559,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
"9300YVZ","YVZ","Plymouth Stonehouse Ferry Terminal","","U",246160,53985,"2005-10-11T00:00:00","2006-12-22T10:10:40",1,"rev"
